tag,text,datasets,decades
abort_20wk.ban,20 week ban,"CCES 2016, CCES 2014",2010
abort_all.illegal,never allow abortion,CCES 2016,2010
abort_always,always allow abortion,"CCES 2016, CCES 2014",2010
abort_employer.insurance,allow employers to decline abortion coverage in insurance,"CCES 2016, CCES 2014",2010
abort_hyde,prohibit federal funds for abortion,"CCES 2016, CCES 2014",2010
abort_legal,spectrum of abortion legality (fix),CCES 2012,2010
budget_where.balance,priorities for where to balance the budget,CCES 2012,2010
climate_action,which climate statement best represents your views,CCES 2012,2010
climate_clean.acts,stronger clean air/water acts even if cost jobs,CCES 2016,2010
climate_epa.carbon,EPA powers to regulate CO2,CCES 2016,2010
climate_fuel.efficiency,raise fuel efficiency,CCES 2016,2010
climate_require.renewables,require some minimum of renewables in electricity generation even if cost jobs,CCES 2016,2010
env_jobs,protect environment or protect jobs (scale),CCES 2012,2010
gun_assault.ban,ban assault weapons,"CCES 2016, CCES 2014",2010
gun_back.check,background checks for gun sales,"CCES 2016, CCES 2014",2010
gun_big.mags,ban high capacity magazines,CCES 2014,2010
gun_easy.cc,make it easier to get a CCW permit,"CCES 2016, CCES 2014",2010
gun_publish.registry,should governments be banned/allowed to publish registries,"CCES 2016, CCES 2014",2010
gun_stricter,laws covering firearms sales should be stricter/less,CCES 2012,2010
imm_birth.cit,end birthright citizenship for children of undocumented ,CCES 2012,2010
imm_border.patrol,increase border patrols,"CCES 2016, CCES 2012",2010
imm_deport.undoc,ID and deport undocumented,"CCES 2016, CCES 2014",2010
imm_dreamers,legal status to children brought here illegally who graduate high school,CCES 2016,2010
imm_fine.businesses,fine firms that hire undocumented imms,"CCES 2016, CCES 2012, CCES 2014",2010
imm_legal.status,"legal status to job-holding, tax-paying (3+ years) no felonies","CCES 2016, CCES 2012, CCES 2014",2010
imm_more.visas,increase overseas worker visas,CCES 2016,2010
imm_police.question,allow police to question anyone suspected of being undocumented,CCES 2012,2010
imm_public.services,bad undocumented from ER or public school services,CCES 2012,2010
law_body.cams,require body cams always,CCES 2016,2010
law_mand.min,eliminate mandatory minimums,CCES 2016,2010
law_more.cops,increase police on street by 10% even at expense of other services,CCES 2016,2010
law_recid.sentences,increase sentences for recidivism,CCES 2016,2010
lgbtq_marriage,favor/oppose same sex marriage,"CCES 2016, CCES 2012",2010
race_aff.act,support/oppose Aff. act.,CCES 2012,2010
race_gen.disc,Racial resentment: generations of discrimination,CCES 2012,2010
race_irish.italian,Racial resentment: Irish/Italian,CCES 2012,2010
